country,year,gdp per capita (current us$),gdp (current us$),"inflation, consumer prices (annual %)",poverty headcount ratio at $6.85 a day (2017 ppp) (% of population),renewable energy consumption (% of total final energy consumption),"pm2.5 air pollution, mean annual exposure (micrograms per cubic meter)",total greenhouse gas emissions excluding lulucf per capita (t co2e/capita),"energy use (kg of oil equivalent) per $1,000 gdp (constant 2021 ppp)"
SAS,2024,2303.30291008899,4494987381110.1,6.38195135323062,78.8,37.8106319649424,46.761099733566,2.60222574447219,78.8497146908596
SAU,2024,32093.9622984711,1067582933333.33,1.68792112375817,,0.1,53.1486013629285,24.2048771096646,131.28779331292
SDN,2024,2183.44140625,109265503110.904,138.80846024176,86.2,61.0,45.8349025581217,2.77245927390421,131.472024903574
SEN,2024,1706.44218024762,30848333083.7055,5.93947798773215,75.6,35.4,63.7402211262202,1.59555157099905,74.7364844335727
SGP,2024,84734.2559206054,501427500080.059,2.36645846996694,,1.1,13.8691955865476,12.5539910450909,50.0524193541362
SLB,2024,2041.6364912646,1633319401.19414,5.88585897042164,88.5,50.1,13.9542830081778,0.900994368785195,
SLE,2024,757.85833603088,6411869546.28929,28.6337500014115,89.9,71.6,43.2210935036927,0.820009474603901,
SLV,2024,5391.06926181338,34015620000.0,0.853782292567288,27.5,21.9,20.0287144500145,2.06847507870517,69.4451970184166
SOM,2024,597.458854603159,10968517090.0004,,,95.4,24.525108218562,1.77028060123272,
SSA,2024,1621.26148130945,2042436971778.64,6.69759990789844,,70.5914308989386,38.1802309248681,1.88450796787577,107.397578929616
SSF,2024,1622.80705094435,2044578421949.78,6.34221743124953,87.3,70.5731786913503,38.1777310513302,1.88539948494327,107.397578929616
SST,2024,15086.0915547842,305546743662.392,4.81585792589553,,30.8015756102716,20.6105031903131,7.92014610450725,
STP,2024,2940.93352926715,678976264.835436,21.2589138473,79.7,42.5,27.3357522767854,1.31458693382885,
SUR,2024,5494.07409425517,3455146280.83975,16.2296159130279,17.5,14.5,27.3059698425997,5.94336652429852,92.7923328340501
SVK,2024,24491.3771867262,132908336234.295,2.75760909424272,2.4,17.9,15.3916194257365,8.25092044210705,81.7237153081171
SVN,2024,32610.110922729,69148468417.3208,1.96562656432512,0.1,23.4,14.2911527506818,7.54246364351903,60.1264150700818
SWE,2024,55516.836477474,584960475767.32,2.83581658224034,1.4,57.9,5.63670790600148,4.66167936775243,67.8013815293376
SWZ,2024,3610.60879677551,4442875788.08505,2.59801620311077,78.1,64.7,18.7831211422857,2.67337176738675,98.4507719653982
SYC,2024,17879.2396545075,2141450171.13932,0.311726050919668,6.7,1.9,8.49983857722866,11.1769764471125,
SYR,2024,1051.67149587463,23622827079.5047,13.4175653228571,96.0,1.1,24.7058382627422,1.74660981020972,102.030754167448
TCA,2024,30348.8114409139,1402054390.94734,,,0.8,,2.38754924455604,
TCD,2024,680.639877912029,13149325362.3347,8.89950732263761,88.8,70.0,49.1388484128027,4.936952432064,117.589255242746
TEA,2024,10011.9941315998,21136712800814.7,5.93194206291786,,16.1221610096023,30.4069592021401,8.99958971534435,115.785787844641
TEC,2024,11977.3398758875,5497903850286.88,9.4023569492879,,8.04684136612882,17.9074788393623,11.0172806673664,104.460903190496
TGO,2024,985.697512629974,9171261837.57103,5.48928568141124,86.8,75.1,51.6661369398223,1.14064011224013,159.7899729992
